"";"IDtree";"former_id";"dbh";"Essence_ID";"NomLatin";"NomVernaculaire"
"84";"11_2_1_4";851;256;"FRO";"Ceiba pentandra";"Fromager"
"85";"11_2_10_2";850;357;"EHO";"Ricinodendron africanum";"Eho"
"86";"11_2_12_10";853;254;"EHO";"Ricinodendron africanum";"Eho"
"87";"11_2_12_4";196;319;"KOT";"Pterygota macrocarpa";"Koto"
"88";"11_2_13_1";199;578;"BET";"Mansonia altissima";"Bete"
"89";"11_2_13_13";903;202;"EHO";"Ricinodendron africanum";"Eho"
"90";"11_2_13_14";902;236;"EHO";"Ricinodendron africanum";"Eho"
"91";"11_2_13_5";201;380;"AKT";"Gambeya africana";"Akatio"
"92";"11_2_13_6";202;423;"BI";"Eribrema oblonga";"Bi ou Eyong"
"93";"11_2_13_7";203;491;"BET";"Mansonia altissima";"Bete"
"94";"11_2_14_4";801;455;"EHO";"Ricinodendron africanum";"Eho"
"95";"11_2_14_8";210;390;"BET";"Mansonia altissima";"Bete"
"96";"11_2_16_15";902;398;"EHO";"Ricinodendron africanum";"Eho"
"97";"11_2_17_13";259;600;"KOB";"Nesogordonia papaverifera";"Kotibe"
"98";"11_2_17_14";859;238;"BI";"Eribrema oblonga";"Bi ou Eyong"
"99";"11_2_17_2";212;389;"BET";"Mansonia altissima";"Bete"
"100";"11_2_17_3";213;297;"BI";"Eribrema oblonga";"Bi ou Eyong"
"101";"11_2_17_5";216;530;"LOT";"Sterculia rhinopetala";"Lotofa"
"102";"11_2_18_12";242;253;"BA";"Celtis mildbraedii";"Ba"
"103";"11_2_18_13";247;389;"BA";"Celtis mildbraedii";"Ba"
"104";"11_2_18_16";245;500;"KOB";"Nesogordonia papaverifera";"Kotibe"
"105";"11_2_18_20";860;101;"DIF";"Morus mesozygia";"Difou"
"106";"11_2_18_5";237;218;"EHO";"Ricinodendron africanum";"Eho"
"107";"11_2_18_8";240;500;"BA";"Celtis mildbraedii";"Ba"
"108";"11_2_19_1";227;450;"BA";"Celtis mildbraedii";"Ba"
"109";"11_2_21_8";603;456;"EHO";"Ricinodendron africanum";"Eho"
"110";"11_2_21_9";602;580;"SAM";"Triplochiton scleroxylon";"Samba"
"111";"11_2_22_15";750;353;"EHO";"Ricinodendron africanum";"Eho"
"112";"11_2_23_15";286;274;"AKA";"Scottelia sp.";"Akossika"
"113";"11_2_24_4";252;173;"BA";"Celtis mildbraedii";"Ba"
"114";"11_2_25_18";146;146;"KOB";"Nesogordonia papaverifera";"Kotibe"
"115";"11_2_25_25";300;369;"EHO";"Ricinodendron africanum";"Eho"
"116";"11_2_3_3";650;389;"EHO";"Ricinodendron africanum";"Eho"
