;OldVernacular;OldScientificName;Oldgenus;Oldspecies;TreeID;SampleID;RDMC;RootAverageLenght;RSL;BarkTh;PetioleL;LeafThickness;LeafArea;FreshWeight;DryWeight;LDMC;SLA;Dispers;Deciduousness;SPAD;Filled;Operator;Rootdryweight;Rootfreshweight;RootsArea;RSA;field_name;genus;species;MeanDBH;N;Roots_length;meanWD;sdWD;levelWD;nInd;family,,,,,,,,,,,,,,,,,,
48;Bi ou Eyong;Eribroma obloga;Eribroma;obloga;A;3;379,3103448;0,827;0,017269031;0,92;2,9;0,42;5978;1,84;611,4;332,04;9,777559699;3;1;36,6;0;Marco;110;0,29;1239,408;11,26734545;bi;Eribroma;oblongum;307,3430493;446;1,8995934;0,638454545;0,070823262;species;11;Malvaceae
49;Bi ou Eyong;Eribroma obloga;Eribroma;obloga;B;1;434,7826087;1,838;0,015851262;0,8;2,5;0,2;5322;0,86;220;256,41;24,19090909;3;1;53,4;0;Marco;100;0,23;1840,331;18,40331;bi;Eribroma;oblongum;307,3430493;446;1,5851262;0,638454545;0,070823262;species;11;Malvaceae,
50;Bi ou Eyong;Eribroma obloga;Eribroma;obloga;B;2;317,7570093;2,089;0,003489252;1;2;0,23;2931;0,49;226;465,02;12,96902655;3;1;51,5;0;Marco;340;1,07;1603,608;4,716494118;bi;Eribroma;oblongum;307,3430493;446;1,1863457;0,638454545;0,070823262;species;11;Malvaceae,,,
51;Bi ou Eyong;Eribroma obloga;Eribroma;obloga;B;3;273,5042735;3,416;0,005235236;1,15;2,4;0,21;4436;0,73;330;452,05;13,44242424;3;1;43,4;0;Marco;320;1,17;1988,518;6,21411875;bi;Eribroma;oblongum;307,3430493;446;1,6752754;0,638454545;0,070823262;species;11;Malvaceae,
52;Bi ou Eyong;Eribroma obloga;Eribroma;obloga;C;1;228,2608696;1,301;0,007742165;0,76;2,5;0,26;4270;1;480;480;8,895833333;3;1;36,6;0;Marco;210;0,92;1876,201;8,934290476;bi;Eribroma;oblongum;307,3430493;446;1,6258547;0,638454545;0,070823262;species;11;Malvaceae,,,
53;Bi ou Eyong;Eribroma obloga;Eribroma;obloga;C;2;282,3529412;1,974;0,005531116;0,89;2,1;0,26;4107;0,9;447,5;500;9,177653631;3;1;47,4;0;Marco;240;0,85;1606,55;6,693958333;bi;Eribroma;oblongum;307,3430493;446;1,3274678;0,638454545;0,070823262;species;11;Malvaceae,
54;Bi ou Eyong;Eribroma obloga;Eribroma;obloga;C;3;261,9047619;1,744;0,006252658;1,01;2,9;0,24;6111;1,25;620;494,42;9,856451613;3;1;40,7;0;Marco;220;0,84;1525,599;6,934540909;bi;Eribroma;oblongum;307,3430493;446;1,3755848;0,638454545;0,070823262;species;11;Malvaceae,
55;Cedrela;Cedrela odorata;Cedrela;odorata;A;1;252,8735632;2,668;0,003351533;1,82;12,2;0,21;80084;13,45;5608;416,95;14,28031384;2;1;36,3;0;Marco;220;0,87;1160,113;5,273240909;cedrela;Cedrela;odorata;298,962562;4434;0,7373373;0,446857143;0,070823262;species;14;Meliaceae,
56;Cedrela;Cedrela odorata;Cedrela;odorata;A;2;218,1818182;3,329;0,006018494;1,64;11,7;0,25;49101;8,47;3136;370,25;15,65720663;2;1;40;0;Marco;240;1,1;1727,163;7,1965125;cedrela;Cedrela;odorata;298,962562;4434;1,4444385;0,446857143;0,070823262;species;14;Meliaceae,,
57;Cedrela;Cedrela odorata;Cedrela;odorata;A;3;231,292517;3,54;0,002320933;1,52;6;0,22;23964;4,74;2048;431,89;11,70117188;2;1;36,3;0;Marco;340;1,47;1310,684;3,854952941;cedrela;Cedrela;odorata;298,962562;4434;0,7891173;0,446857143;0,070823262;species;14;Meliaceae,,
58;Cedrela;Cedrela odorata;Cedrela;odorata;B;1;253,7313433;4,097;0,003549877;2,15;10;0,24;53265;7,99;3516;440,05;15,14931741;2;1;27,5;0;Marco;170;0,67;949,868;5,587458824;cedrela;Cedrela;odorata;298,962562;4434;0,6034791;0,446857143;0,070823262;species;14;Meliaceae,,
59;Cedrela;Cedrela odorata;Cedrela;odorata;B;2;241,5730337;4,962;0,001554613;1,75;8,6;0,22;33090;6,75;2444;361,97;13,53927987;2;1;41,8;0;Marco;430;1,78;1523,456;3,54292093;cedrela;Cedrela;odorata;298,962562;4434;0,6684835;0,446857143;0,070823262;species;14;Meliaceae,
60;Cedrela;Cedrela odorata;Cedrela;odorata;B;3;239,4366197;3,084;0,003306645;1,38;9,1;0,23;46269;8,77;3484;397,08;13,2804248;2;1;37,4;0;Marco;170;0,71;891,937;5,246688235;cedrela;Cedrela;odorata;298,962562;4434;0,5621296;0,446857143;0,070823262;species;14;Meliaceae,
61;Cedrela;Cedrela odorata;Cedrela;odorata;C;1;250;1,432;0,01066488;2,24;7,7;0,24;26045;5,46;2128;389,46;12,23919173;2;1;37,3;0;Marco;40;0,16;408,264;10,2066;cedrela;Cedrela;odorata;298,962562;4434;0,42659518;0,446857143;0,070823262;species;14;Meliaceae,,
62;Cedrela;Cedrela odorata;Cedrela;odorata;C;2;220,1834862;3,434;0,004702781;2,09;7,9;0,24;49154;11,09;4170;376,01;11,78752998;2;1;39,7;0;Marco;240;1,09;1607,625;6,6984375;cedrela;Cedrela;odorata;298,962562;4434;1,1286675;0,446857143;0,070823262;species;14;Meliaceae,
63;Cedrela;Cedrela odorata;Cedrela;odorata;C;3;250;1,95;0,005279031;2,25;6,7;0,25;27368;6,09;2662,5;437,37;10,27906103;2;1;41,5;0;Marco;110;0,44;777,927;7,072063636;cedrela;Cedrela;odorata;298,962562;4434;0,5806934;0,446857143;0,070823262;species;14;Meliaceae,
64;Frake / Limba;Terminalia superba;Terminalia;superba;A;1;431,9163446;3,327;0,001809;0,76;2,3;0,29;2911;0,33;266,7;800;10,91488564;2;1;41,4;0;Marco;190;0,4399;619,904;3,262652632;frake_limba;Terminalia;superba;384,6985294;137;0,34370992;0,458948276;0,070823262;species;58;Combretaceae,
65;Frake / Limba;Terminalia superba;Terminalia;superba;A;2;486,9565217;3,262;0,003206759;0,84;2,4;0,29;3817;0,45;338;748,22;11,29289941;2;1;43,8;0;Marco;140;0,2875;563,128;4,022342857;frake_limba;Terminalia;superba;384,6985294;137;0,44894627;0,458948276;0,070823262;species;58;Combretaceae,
66;Frake / Limba;Terminalia superba;Terminalia;superba;A;3;447,8827362;2,674;0,001828443;0,84;2,9;0,29;4557;0,49;374;764,61;12,18449198;2;1;39,2;0;Marco;220;0,4912;640,912;2,913236364;frake_limba;Terminalia;superba;384,6985294;137;0,40225735;0,458948276;0,070823262;species;58;Combretaceae,
